V,V_err,C,C_err,C_mobile,V_abs,1_C2,1_C2_err,1_C2_F,1_C2_err_F,derivative_sigmoid,derivative,derivative2_C,derivative2_V,derivative_err,NB,NB_err,W,W_err
-22.0,0.1,96.9,0.2,97.28,22.6,0.00010567028436634348,4.396313559630474e-07,1.0567028436634349e+20,4.396313559630474e+17,7.742754628651556e+18,7.742754628651556e+18,1.376226340865049,2.7993128785975345e+19,2.8639512249096653e+18,1.5564909792092012e+22,5.757271746635955e+21,1.3703368835335455e-06,2.5345364666603797e-07
-22.1,0.1,96.1,0.2,96.2,22.700000000000003,0.00010805624111237416,4.507023560164818e-07,1.0805624111237417e+20,4.507023560164818e+17,1.0970277361562526e+19,1.0970277361562526e+19,1.7364989909617727,3.900161101319993e+19,3.9779125856193e+18,1.0985618081045404e+22,3.9834752563788576e+21,1.6347340624440984e-06,2.9640586391580034e-07
-22.2,0.1,95.2,0.2,95.24,22.8,0.00011024559013229649,4.636061048245299e-07,1.1024559013229648e+20,4.6360610482452986e+17,1.5543076831291468e+19,1.5543076831291468e+19,2.6275448377159574,5.525753805371273e+19,5.658430380816417e+18,7.75363067720555e+21,2.822695909036733e+21,1.950119835769381e-06,3.549946463096982e-07
-22.3,0.1,94.4,0.2,94.36,22.900000000000002,0.00011231147620227637,4.7549286928069566e-07,1.1231147620227637e+20,4.754928692806957e+17,2.20217849723051e+19,2.20217849723051e+19,3.614841440580969,7.828748091721977e+19,8.015215394469255e+18,5.472548092210782e+21,1.9918299888417193e+21,2.3263195981333817e-06,4.233829057979172e-07
-22.4,0.1,93.6,0.2,93.44,23.0,0.00011453397682492026,4.877894972131221e-07,1.1453397682492026e+20,4.877894972131221e+17,3.120057301473527e+19,3.120057301473527e+19,4.700767702948056,1.1091275466968302e+20,1.1325818832152609e+19,3.862598205499236e+21,1.4021244890669617e+21,2.775048530039329e-06,5.037079167603029e-07
-22.5,0.1,92.5,0.2,92.46000000000001,23.1,0.0001169747758868571,5.053994827552169e-07,1.1697477588685711e+20,5.053994827552169e+17,4.420433590624176e+19,4.420433590624176e+19,5.9994699367144335,1.571282265754876e+20,1.6002706088575322e+19,2.7263225397816077e+21,9.869741827887708e+20,3.310272945100623e-06,5.992298180191128e-07
-22.6,0.1,91.5,0.2,91.39999999999999,23.200000000000003,0.00011970370937854624,5.22151715423399e-07,1.1970370937854624e+20,5.22151715423399e+17,6.2626218329833234e+19,6.2626218329833234e+19,7.613709602304041,2.2258895548464926e+20,2.2611128299120427e+19,1.924358208930117e+21,6.947874471107368e+20,3.948639318585025e-06,7.128767707070587e-07
-22.7,0.1,90.3,0.2,90.26,23.3,0.00012274656335399387,5.432462541232069e-07,1.2274656335399387e+20,5.4324625412320685e+17,8.872212700317118e+19,8.872212700317118e+19,9.58871444473634,3.152971046788111e+20,3.195710670740345e+19,1.358345222415112e+21,4.8926671039638005e+20,4.7099827046048854e-06,8.483120816149358e-07
-22.8,0.1,89.1,0.2,89.02000000000001,23.400000000000002,0.0001261899650610272,5.654925388907353e-07,1.261899650610272e+20,5.654925388907352e+17,1.2568563926559562e+20,1.2568563926559562e+20,12.128793397068755,4.4657001291985846e+20,4.518063864722931e+19,9.58862747100284e+20,3.4468561040200126e+20,5.617927590725104e-06,1.0098189960039052e-06
-22.9,0.1,87.9,0.2,87.7,23.5,0.00013001720127572876,5.889702605783626e-07,1.3001720127572876e+20,5.889702605783625e+17,1.78036129587142e+20,1.78036129587142e+20,14.739293180249808,6.324014171753779e+20,6.383318398964709e+19,6.769147229651308e+20,2.4270142333769787e+20,6.700595212640436e-06,1.2013023741672136e-06
-23.0,0.1,86.3,0.2,86.17999999999999,23.6,0.00013464400475217937,6.223398404414312e-07,1.3464400475217936e+20,6.223398404414312e+17,2.5216592270067152e+20,2.5216592270067152e+20,17.465497879114146,8.953692915773749e+20,9.019427461498701e+19,4.7792055344575486e+20,1.7094180363458842e+20,7.991431460805204e-06,1.429281031648218e-06
-23.1,0.1,84.9,0.2,84.48,23.700000000000003,0.00014011743859044994,6.536374403094408e-07,1.4011743859044994e+20,6.536374403094408e+17,3.571099879026195e+20,3.571099879026195e+20,20.57715388231585,1.2672973373773971e+21,1.2744146838692812e+20,3.374738355683508e+20,1.2043393521305618e+20,9.530167876073084e-06,1.7006293835847838e-06
-23.2,0.1,82.7,0.2,82.53999999999999,23.8,0.000146781415288717,7.072019714358188e-07,1.46781415288717e+20,7.072019714358188e+17,5.0562539017614846e+20,5.0562539017614846e+20,23.105339908197347,1.7929427640985287e+21,1.8003732332977108e+20,2.3834894306885884e+20,8.486857377484125e+19,1.1363923329850989e-05,2.0233089715486446e-06
-23.3,0.1,80.6,0.2,80.2,23.900000000000002,0.00015547166995230128,7.639322876699482e-07,1.5547166995230127e+20,7.639322876699483e+17,7.156985407223262e+20,7.156985407223262e+20,24.75957281425695,2.535055625317151e+21,2.5421021563110182e+20,1.6838832340727294e+20,5.9810142912852845e+19,1.3548443223839935e-05,2.40631455301201e-06
-23.4,0.1,78.2,0.2,77.36,24.0,0.00016709639403308135,8.36449512049649e-07,1.6709639403308135e+20,8.36449512049649e+17,1.0126365152395737e+21,1.0126365152395737e+21,25.240084382929307,3.581218010343246e+21,3.587435620270492e+20,1.1901138811763306e+20,4.216179117835038e+19,1.6149452080427165e-05,2.8608057142866834e-06
